transaction_id,customer_id,product_category,amount,quantity,payment_method,transaction_date
500098,101261,Groceries,1166.48,2,Wallet,2023-12-16
500099,200011,Groceries,2163.66,2,Card,2023-06-04
500100,101875,Sports,2814.48,4,Card,2023-01-15
500101,102621,Groceries,458.85,4,Card,2022-07-20
500102,100466,Groceries,514.61,1,UPI,2024-04-10
500103,102842,Clothing,177.6,2,UPI,2021-10-29
500104,100071,Clothing,1836.84,4,Card,2024-12-26
500105,104474,Books,437.04,4,Card,2023-08-20
500106,104602,Groceries,836.86,1,Card,2023-07-23
500107,103663,Electronics,3222.36,4,Card,2022-07-09
500108,102297,Clothing,1724.24,1,Cash,2021-01-04
500109,101255,Groceries,115.02,4,Card,2024-07-08
500110,103714,Clothing,59.83,1,Card,2023-05-31
500111,104660,Groceries,1908.06,2,UPI,2022-02-14
500112,100769,Beauty,1014.9,4,UPI,2021-09-22
500113,102294,Groceries,1578.99,4,Card,2021-01-15
500114,101549,Beauty,254.68,2,UPI,2021-03-29
500115,101767,Toys,2517.32,2,Card,2021-04-09
500116,101987,Toys,1831.09,2,Card,2023-10-05
500117,104753,Clothing,2707.92,1,Card,2021-08-05
500118,101280,Books,550.61,4,Card,2022-02-14
500119,102451,Home,437.07,4,Card,2021-07-10
500120,104753,Electronics,247.47,3,Card,2024-05-23
500121,102356,Beauty,3242.63,3,Card,2022-09-09
500122,104336,Clothing,283.51,4,Card,2023-11-17
500123,100274,Groceries,202.47,1,UPI,2024-04-20
500124,104757,Beauty,306.84,1,Card,2022-08-18
500125,100918,Home,1820.84,3,Card,2024-03-28
500126,104890,Beauty,2693.61,3,Card,2021-08-18
500127,100863,Beauty,2048.66,3,UPI,2024-06-12
500128,102199,Groceries,1044.04,3,Card,2023-03-11
500129,101510,Groceries,6166.27,3,UPI,2024-11-10
500130,102138,Sports,135.61,2,Card,2022-06-14
500131,101230,Home,2472.62,4,Netbanking,2024-07-31
500132,104812,Electronics,719.74,4,Netbanking,2021-03-12
500133,101502,Groceries,778.63,3,UPI,2024-05-23
500134,103279,Groceries,213.8,4,Card,2021-04-27
500135,100653,Home,90.81,4,UPI,2021-04-10
500136,104114,Electronics,506.86,2,UPI,2022-08-23
500137,102684,Groceries,280.63,2,Card,2023-05-10
500138,104884,Clothing,842.44,1,Cash,2021-10-22
500139,102087,Electronics,241.26,1,Wallet,2024-04-15
500140,100951,Groceries,228.1,3,Card,2024-03-01
500141,101716,Toys,2564.48,1,Netbanking,2023-10-02
500142,103679,Sports,3100.45,3,UPI,2022-09-26
500143,103313,Groceries,4046.31,1,Card,2021-02-26
500144,103895,Beauty,1419.21,4,Card,2023-11-03
500145,100345,Groceries,1818.93,4,Card,2021-07-12
500146,102893,Home,2217.89,1,Wallet,2023-09-21
500147,104660,Groceries,1340.77,4,UPI,2024-03-22
500148,100512,Sports,531.01,4,Card,2023-11-13
500149,100448,Groceries,254.07,3,Netbanking,2021-01-30
500150,103567,Groceries,375.03,4,UPI,2024-10-24
500151,101549,Home,2252.21,1,Card,2024-11-15
500152,103313,Sports,1479.26,4,Card,2021-11-06
500153,102697,Clothing,780.12,3,Netbanking,2024-11-25
500154,104924,Sports,85.82,1,Netbanking,2024-10-08
500155,104452,Clothing,421.43,3,Wallet,2022-07-26
500156,103398,Beauty,1616.31,4,Card,2021-03-07
500157,101292,Home,911.88,4,UPI,2021-06-15
500158,101292,Groceries,736.25,4,UPI,2022-07-18
500159,104417,Toys,501.69,2,UPI,2021-06-29
500160,102928,Beauty,1170.53,3,UPI,2022-06-28
500161,103939,Books,4121.35,1,Card,2022-12-27
500162,102227,Home,2826.66,4,Card,2023-02-16
500163,100491,Sports,87.17,2,Card,2023-11-07
500164,101647,Beauty,836.91,2,Card,2021-05-06
500165,100784,Electronics,529.62,3,Card,2021-03-23
500166,103911,Toys,907.5,4,Cash,2023-11-30
500167,103501,Groceries,1168.34,3,Card,2024-05-27
500168,100421,Electronics,317.81,4,Card,2023-08-29
500169,103108,Groceries,1875.54,4,Wallet,2024-04-20
500170,104391,Home,823.38,4,UPI,2022-03-14
500171,103481,Electronics,5844.89,2,Card,2023-08-26
500172,102537,Electronics,80.54,3,Card,2022-06-14
500173,101530,Home,302.45,3,UPI,2024-03-30
500174,104445,Clothing,1453.99,3,Card,2023-07-23
500175,102083,Beauty,1475.64,1,Wallet,2023-01-04
500176,104295,Groceries,1097.27,1,UPI,2022-07-11
500177,103916,Groceries,4338.95,2,UPI,2024-04-25
500178,104070,Electronics,694.02,2,Card,2024-10-09
500179,200015,Clothing,697.56,2,Wallet,2024-10-30
500180,103741,Groceries,2945.9,3,UPI,2021-08-29
500181,100158,Groceries,977.78,3,UPI,2021-11-30
500182,100995,Clothing,573.84,4,Cash,2021-02-17
500183,100160,Beauty,1573.02,3,Cash,2024-02-09
500184,100926,Electronics,1210.06,2,Card,2024-02-02
500185,100287,Clothing,489.05,2,Card,2022-04-08
500186,102491,Groceries,474.46,4,Card,2024-01-03
500187,100127,Groceries,654.25,1,Card,2021-11-13
500188,102335,Groceries,139.18,3,Cash,2021-01-02
500189,104507,Clothing,3479.61,3,Card,2022-01-07
500190,103739,Clothing,292.57,1,Card,2023-10-31
500191,104716,Beauty,308.54,2,Card,2022-08-11
500192,101109,Toys,1299.68,2,Wallet,2022-02-27
500193,102628,Home,1595.9,2,Netbanking,2024-07-05
500194,101569,Groceries,1651.97,3,UPI,2023-04-13
500195,102456,Beauty,614.15,1,Netbanking,2023-08-20
500196,102756,Beauty,2529.39,1,Netbanking,2022-12-28
500197,100166,Beauty,992.31,2,UPI,2022-04-21
500198,101142,Electronics,742.76,3,Card,2021-09-02
500199,103509,Sports,2045.32,1,UPI,2024-09-22
500200,103862,Beauty,384.96,3,UPI,2022-11-23
500201,102830,Home,2410.93,4,UPI,2022-05-03
500202,101327,Sports,978.78,2,UPI,2023-05-03
500203,101986,Beauty,2813.8,2,Wallet,2024-01-02
500204,100461,Clothing,320.19,4,UPI,2023-01-23
500205,104758,Beauty,3349.83,1,UPI,2023-07-17
500206,104369,Beauty,1447.23,2,Netbanking,2023-10-26
500207,100306,Toys,1205.83,1,Card,2024-10-21
500208,100820,Toys,707.96,2,Card,2021-08-05
500209,102895,Clothing,3806.9,4,UPI,2024-05-22
500210,101136,Electronics,754.21,4,UPI,2023-08-17
500211,104669,Electronics,878.28,1,Card,2024-09-10
500212,103773,Toys,1875.15,2,UPI,2021-11-06
500213,101339,Groceries,452.3,2,Netbanking,2021-02-07
500214,100024,Groceries,463.52,3,UPI,2023-06-24
500215,103983,Clothing,1841.57,3,UPI,2023-12-21
500216,102093,Groceries,215.16,2,Card,2024-01-24
500217,103207,Home,2127.69,1,Wallet,2021-08-21
500218,101410,Beauty,1227.56,4,Netbanking,2022-05-28
500219,100684,Groceries,979.45,2,Card,2021-05-30
500220,103383,Sports,362.25,3,UPI,2021-08-03
500221,102228,Sports,1902.2,4,Card,2022-02-03
500222,101149,Clothing,2011.42,1,Card,2023-10-27
500223,100655,Groceries,841.52,2,Card,2024-01-10
500224,102894,Beauty,641.52,2,Card,2021-07-08
500225,103623,Clothing,389.09,4,UPI,2022-10-22
500226,101395,Groceries,1734.05,4,UPI,2021-01-28
500227,103671,Home,1274.16,3,Card,2022-11-08
500228,100897,Toys,327.76,1,UPI,2021-05-15
500229,101673,Clothing,1948.58,4,Card,2021-11-01
500230,103718,Sports,2616.57,1,Netbanking,2022-05-10
500231,103317,Clothing,123.29,1,Card,2022-12-25
500232,101326,Groceries,1826.31,2,UPI,2024-07-27
500233,100572,Electronics,2349.17,4,Card,2024-01-09
500234,100192,Electronics,5772.34,4,Card,2023-05-10
500235,104192,Electronics,375.54,3,UPI,2022-01-26
500236,100355,Home,606.35,2,Netbanking,2023-11-05
500237,100542,Electronics,4114.44,4,Card,2022-08-22
500238,101161,Beauty,168.48,4,Card,2023-07-08
500239,102206,Books,940.07,3,Card,2023-06-11
500240,103943,Clothing,898.07,3,UPI,2021-08-11
500241,101218,Clothing,1169.35,1,Netbanking,2023-04-08
500242,102686,Groceries,531.99,2,UPI,2021-09-23
500243,100431,Home,3173.1,1,Card,2024-09-05
500244,102291,Home,427.75,3,UPI,2024-02-04
500245,100871,Groceries,1308.74,4,Card,2021-09-10
500246,101029,Groceries,872.04,4,Netbanking,2021-07-18
500247,101818,Home,422.2,3,Wallet,2023-12-16
500248,103804,Home,301.17,1,UPI,2023-07-17
500249,103714,Sports,3813.71,1,Cash,2022-02-11
500250,102040,Toys,1038.7,3,Card,2024-10-02
500251,100556,Beauty,1162.19,4,Card,2022-05-01
500252,101385,Groceries,1882.85,2,Card,2023-05-03
500253,102513,Sports,151.66,1,Netbanking,2021-12-29
500254,104372,Clothing,1551.13,2,Card,2021-07-31
500255,104829,Beauty,266.59,4,Card,2022-12-02
500256,103179,Beauty,1668.71,3,Card,2023-05-27
500257,101738,Groceries,232.84,1,Netbanking,2022-09-06
500258,103466,Groceries,2194.08,1,Card,2023-07-05
500259,101663,Clothing,1421.14,4,Card,2021-05-23
500260,103131,Electronics,635.1,3,Card,2024-08-01
500261,101195,Sports,583.36,1,Card,2023-12-30
500262,101312,Sports,243.54,4,Card,2023-08-16
500263,100355,Groceries,2862.76,1,Card,2024-08-26
500264,102068,Clothing,201.4,2,Card,2023-05-15
500265,103096,Home,816.57,1,UPI,2024-07-10
500266,103937,Electronics,373.84,4,UPI,2021-03-01
500267,104040,Sports,6778.26,2,Cash,2022-06-06
500268,104962,Clothing,1107.82,1,Card,2021-11-05
500269,100419,Home,244.44,1,Card,2024-11-06
500270,102453,Sports,1371.57,3,Card,2021-12-07
500271,102588,Sports,5786.72,3,UPI,2023-06-19
500272,104012,Electronics,1164.77,1,Card,2024-01-13
500273,101309,Beauty,783.61,2,UPI,2024-06-11
500274,100324,Home,466.53,3,UPI,2023-02-01
500275,101543,Sports,165.98,3,UPI,2021-08-28
500276,104911,Groceries,360.91,3,Card,2024-02-02
500277,104509,Groceries,1017.9,4,Card,2021-08-13
500278,101947,Beauty,1731.86,1,Netbanking,2021-10-06
500279,104394,Groceries,2573.8,2,Card,2024-11-17
500280,100144,Home,1944.18,2,Card,2022-03-05
500281,101543,Home,210.88,1,Card,2022-02-06
500282,103627,Home,1831.8,3,UPI,2021-02-15
500283,101089,Electronics,1095.59,2,Cash,2022-05-29
500284,100961,Groceries,809.84,4,Card,2024-04-14
500285,104328,Electronics,1070.5,4,UPI,2023-10-21
500286,103085,Clothing,59.73,2,Netbanking,2024-10-21
500287,104943,Toys,134.16,4,Card,2024-04-11
500288,100639,Groceries,945.48,1,Card,2021-10-31
500289,101763,Beauty,278.84,4,Wallet,2021-06-01
500290,101525,Groceries,996.38,4,Card,2021-12-17
500291,104410,Beauty,574.74,2,Card,2022-12-06
500292,101258,Clothing,2905.52,4,Cash,2021-04-02
500293,101747,Groceries,3637.3,2,Card,2024-03-30
500294,100684,Sports,4731.54,3,Netbanking,2021-04-16
500295,103879,Clothing,2800.43,3,Card,2023-01-11
500296,101161,Groceries,5163.12,4,Netbanking,2024-02-01
500297,100320,Electronics,1519.61,3,UPI,2021-05-12
500298,102145,Groceries,3929.03,2,Card,2023-02-08
500299,101929,Beauty,1281.97,3,UPI,2024-08-05
500300,100871,Toys,2037.92,1,Card,2022-04-03
500301,100630,Groceries,219.75,3,Card,2023-06-18
500302,104497,Home,1427.11,3,UPI,2024-01-30
500303,100317,Electronics,3260.18,2,Netbanking,2023-11-11
500304,100474,Groceries,981.96,3,UPI,2021-09-06
500305,101205,Clothing,298.16,4,Wallet,2021-07-11
500306,104756,Sports,948.11,1,Cash,2022-08-08
500307,100405,Electronics,1522.86,3,Netbanking,2024-08-29
500308,104070,Beauty,1812.51,3,Cash,2021-06-17
500309,104474,Groceries,940.05,4,Card,2021-06-20
500310,101863,Sports,344.11,1,UPI,2024-05-24
500311,101447,Home,3185.65,1,Netbanking,2024-04-12
500312,103395,Groceries,1832.63,3,Card,2022-06-20
500313,103503,Sports,428.79,2,Wallet,2022-02-12
500314,103900,Groceries,2054.38,1,Card,2022-05-16
500315,104148,Groceries,563.0,1,Card,2024-03-07
500316,101316,Electronics,499.51,2,Card,2021-04-09
500317,103438,Groceries,2436.0,1,UPI,2023-04-16
500318,100640,Electronics,2528.51,1,Card,2023-12-17
500319,102536,Clothing,659.96,2,UPI,2021-09-04
500320,103076,Electronics,60.76,3,Netbanking,2022-11-15
500321,100789,Groceries,297.79,2,Netbanking,2022-12-14
500322,100361,Toys,2930.19,4,UPI,2021-04-17
500323,100948,Beauty,2798.19,4,Card,2023-12-08
500324,102068,Groceries,774.72,3,Card,2023-04-25
500325,104446,Sports,485.09,4,Netbanking,2024-08-02
500326,102631,Home,482.73,4,UPI,2021-02-15
500327,103739,Groceries,2779.9,1,UPI,2022-01-31
500328,100851,Groceries,521.18,1,Card,2024-02-18
500329,100504,Toys,909.9,3,Card,2023-12-20
500330,101174,Sports,1625.7,4,Wallet,2024-03-16
500331,101543,Sports,332.08,4,Netbanking,2022-09-08
500332,102714,Home,401.38,2,Card,2023-08-08
500333,104415,Home,581.92,1,UPI,2022-11-05
500334,102099,Clothing,1324.35,2,Card,2024-02-16
500335,102579,Sports,2091.14,4,Card,2021-08-25
500336,100018,Sports,999.46,3,Card,2024-05-26
500337,100148,Electronics,221.16,4,UPI,2024-02-22
500338,100395,Home,759.24,3,Wallet,2022-09-21
500339,103492,Home,213.93,3,Cash,2024-07-10
500340,102418,Electronics,160.93,2,Cash,2021-06-19
500341,100943,Clothing,1118.8,4,UPI,2023-04-01
500342,102973,Toys,3804.08,2,Card,2022-01-27
500343,102690,Books,2231.32,4,Card,2024-03-19
500344,100422,Beauty,1837.17,3,UPI,2024-06-23
500345,103194,Groceries,1608.19,1,Netbanking,2022-05-16
500346,103834,Groceries,2779.12,4,Wallet,2024-04-29
500347,101409,Groceries,1727.24,3,Card,2021-06-23
500348,103440,Home,1233.02,1,Card,2022-08-16
500349,100965,Beauty,594.35,4,Card,2021-06-21
500350,103780,Beauty,177.69,1,UPI,2023-08-16
500351,104562,Beauty,791.72,4,Card,2022-11-07
500352,102186,Electronics,3154.87,4,Wallet,2023-03-20
500353,101203,Electronics,1099.89,1,Card,2022-09-15
500354,101963,Toys,294.75,2,Wallet,2022-12-20
500355,101230,Beauty,1306.44,1,Card,2021-12-04
500356,100004,Clothing,801.62,1,Card,2024-12-05
500357,103262,Clothing,3265.01,3,UPI,2023-12-30
500358,100192,Home,260.57,1,Cash,2024-01-27
500359,101025,Home,1543.8,4,Card,2023-07-26
500360,103603,Groceries,1423.35,4,Netbanking,2024-04-23
500361,103344,Clothing,4978.3,1,Card,2024-12-07
500362,100345,Home,1048.65,3,Cash,2022-01-13
500363,103317,Groceries,2512.88,4,Card,2023-11-02
500364,104655,Books,80.03,2,Card,2024-12-03
500365,100352,Groceries,207.35,1,Card,2022-02-22
500366,102042,Home,559.46,2,Card,2021-11-27
500367,103642,Home,1208.98,3,Card,2023-09-10
500368,103352,Clothing,765.4,2,Card,2021-10-07
500369,101107,Groceries,321.82,1,Netbanking,2024-02-13
500370,100797,Home,1117.59,2,UPI,2023-05-31
500371,103918,Electronics,1053.59,4,Card,2024-05-18
500372,104768,Groceries,941.93,2,Wallet,2022-03-23
500373,103834,Groceries,163.91,3,Wallet,2023-04-11
500374,104801,Electronics,3191.17,3,Wallet,2024-11-18
500375,103040,Toys,1126.54,3,UPI,2023-01-05
500376,104649,Sports,417.82,4,Card,2024-04-19
500377,103452,Groceries,1445.47,3,Card,2023-11-18
500378,104547,Toys,509.11,4,Card,2021-07-12
500379,100788,Groceries,895.91,3,UPI,2023-03-24
500380,104068,Groceries,550.68,3,UPI,2023-08-20
500381,100955,Electronics,2598.26,3,UPI,2024-07-03
500382,100124,Sports,6185.32,4,UPI,2022-02-28
500383,102567,Home,260.91,3,Card,2022-12-07
500384,101567,Electronics,78.63,4,UPI,2021-04-01
500385,100202,Electronics,347.11,4,Card,2022-10-10
500386,104891,Clothing,1119.78,4,UPI,2023-03-06
500387,103348,Home,279.32,2,Card,2023-01-11
500388,104520,Beauty,2052.29,3,Card,2021-05-25
500389,104992,Clothing,680.46,4,Cash,2022-03-28
500390,101933,Sports,1181.57,2,Card,2024-12-22
500391,101253,Sports,779.72,1,UPI,2021-08-30
500392,100899,Home,2853.72,4,Cash,2023-11-21
500393,102556,Groceries,92.92,4,Card,2023-02-12
500394,103043,Electronics,1618.1,3,Card,2023-12-20
500395,102334,Home,1317.26,4,Card,2022-04-21
500396,101909,Sports,1308.12,1,Card,2021-04-11
500397,100827,Groceries,691.3,4,Card,2023-03-21
500398,102185,Clothing,68.96,4,Card,2023-03-02
500399,100404,Groceries,1452.48,3,Card,2022-09-25
500400,104348,Groceries,2172.62,4,Card,2023-05-27
500401,100212,Groceries,156.9,1,Card,2022-08-12
500402,101872,Groceries,749.25,2,Cash,2021-09-30
500403,100477,Clothing,262.94,3,UPI,2023-06-01
500404,103875,Groceries,1182.82,2,Card,2021-02-27
500405,101538,Home,1897.92,1,Netbanking,2023-01-29
500406,100531,Electronics,1368.48,4,Card,2023-09-10
500407,102630,Home,509.38,2,Card,2023-08-03
500408,104578,Electronics,230.61,3,Card,2022-01-22
500409,104545,Groceries,1947.42,2,UPI,2021-02-14
500410,101229,Clothing,519.73,4,Card,2021-10-18
500411,103588,Sports,76.87,2,Card,2024-07-05
500412,100132,Beauty,1066.74,1,UPI,2023-03-26
500413,100625,Electronics,389.91,4,Wallet,2024-06-23
500414,102479,Clothing,2258.18,4,Card,2021-08-28
500415,101124,Groceries,235.54,4,Card,2024-12-07
500416,103979,Sports,734.69,1,Wallet,2024-02-26
500417,104657,Groceries,400.24,3,Card,2021-10-03
500418,100017,Sports,1453.88,1,Card,2022-02-22
500419,101139,Home,1004.3,4,Wallet,2021-07-26
500420,102173,Beauty,1928.43,4,UPI,2021-12-31
500421,102787,Books,786.34,2,Card,2023-04-13
500422,104577,Toys,55.78,1,UPI,2024-10-01
500423,104474,Home,340.79,3,Netbanking,2022-07-22
500424,103179,Toys,8544.41,4,Card,2021-06-09
500425,101273,Groceries,673.73,1,Card,2021-04-06
500426,103916,Electronics,1211.84,4,Card,2022-03-01
500427,100980,Clothing,2873.79,3,UPI,2024-02-14
500428,104811,Books,74.89,3,UPI,2024-05-20
500429,100022,Sports,1343.19,2,Card,2022-08-22
500430,102832,Groceries,458.25,2,UPI,2024-08-23
500431,100421,Home,442.95,2,UPI,2021-09-25
500432,101995,Electronics,355.64,3,Card,2021-02-13
500433,103171,Clothing,2126.09,1,UPI,2022-08-18
500434,103446,Groceries,610.07,1,UPI,2023-10-09
500435,103923,Electronics,133.37,3,Card,2021-01-09
500436,102977,Groceries,172.24,3,Wallet,2022-10-31
500437,101232,Sports,243.07,1,Card,2024-04-27
500438,104456,Home,2800.3,4,Card,2022-01-16
500439,104044,Electronics,719.17,1,UPI,2022-12-28
500440,100781,Clothing,3023.03,3,UPI,2021-04-25
500441,104124,Sports,2091.07,1,Wallet,2022-01-23
500442,104851,Books,2233.32,1,Card,2022-03-15
500443,103179,Beauty,455.65,3,Card,2023-06-29
500444,101392,Electronics,429.82,4,Card,2023-04-25
500445,103045,Groceries,1035.36,3,Cash,2024-09-04
500446,101697,Groceries,699.39,2,Card,2023-07-24
500447,103385,Clothing,903.72,2,Netbanking,2023-05-26
500448,102692,Home,115.61,1,Card,2021-01-28
500449,104649,Groceries,4323.22,3,Card,2022-09-28
500450,103092,Toys,121.92,4,Card,2024-11-22
500451,101052,Beauty,286.43,1,Wallet,2021-03-18
500452,103621,Clothing,1410.59,3,Card,2022-08-10
500453,101481,Home,252.81,1,Card,2024-10-13
500454,101333,Clothing,185.63,1,Card,2024-04-24
500455,101930,Home,250.14,3,Wallet,2021-08-22
500456,100053,Beauty,126.7,4,UPI,2024-06-25
500457,104833,Groceries,397.33,4,Wallet,2024-11-23
500458,102632,Sports,429.49,2,Card,2021-11-25
500459,103866,Electronics,878.47,4,Card,2023-10-26
500460,101274,Clothing,743.05,2,Card,2021-12-14
500461,103727,Home,820.29,3,UPI,2024-11-23
500462,102817,Electronics,1198.66,1,Card,2024-07-06
500463,102093,Electronics,365.14,1,UPI,2023-01-27
500464,104841,Electronics,223.62,4,Card,2022-02-23
500465,102456,Groceries,2583.15,1,UPI,2022-01-26
500466,103302,Home,1255.95,3,Card,2022-08-13
500467,100071,Books,125.1,4,UPI,2021-04-25
500468,101484,Groceries,3944.62,4,UPI,2021-01-04
500469,104451,Electronics,1467.36,2,Card,2022-10-05
500470,103795,Clothing,247.43,3,Wallet,2024-02-26
500471,102649,Electronics,4223.74,2,Netbanking,2021-01-09
500472,104511,Electronics,595.73,4,Card,2024-09-09
500473,102418,Home,5051.08,2,UPI,2021-04-28
500474,102811,Beauty,180.81,3,Card,2023-05-06
500475,101883,Beauty,259.18,2,Card,2022-12-01
500476,103103,Electronics,1335.5,4,Card,2023-07-21
500477,101571,Electronics,76.87,2,Card,2021-05-05
500478,101900,Clothing,72.64,4,Netbanking,2021-08-11
500479,104817,Groceries,1934.16,4,Card,2021-11-24
500480,100524,Sports,270.39,2,Card,2023-10-14
500481,100500,Clothing,3062.86,1,UPI,2023-03-29
500482,100202,Electronics,715.93,3,UPI,2021-09-16
500483,101574,Groceries,2532.46,4,Card,2021-03-08
500484,101960,Toys,699.05,1,UPI,2023-06-02
500485,100449,Clothing,956.61,3,Card,2023-12-22
500486,102722,Beauty,506.66,1,Netbanking,2023-08-30
500487,102909,Clothing,1337.8,2,Card,2021-10-06
500488,103753,Sports,509.62,4,Netbanking,2024-02-21
500489,104865,Groceries,353.04,1,Card,2022-08-12
500490,103100,Sports,151.42,1,Netbanking,2021-09-29
500491,100524,Beauty,121.28,3,UPI,2022-05-17
500492,100421,Electronics,488.3,3,Netbanking,2022-10-20
500493,103891,Groceries,1650.32,4,Netbanking,2024-07-16
500494,103262,Clothing,326.23,1,Card,2023-06-12
500495,100790,Home,476.69,4,Card,2022-07-22
500496,101244,Home,2876.82,3,Netbanking,2021-08-06
500497,103752,Home,1273.18,4,Card,2022-11-16
500498,102810,Sports,3076.72,2,Card,2021-06-08
500499,102927,Clothing,2955.99,4,Cash,2021-12-26
500500,101023,Home,128.61,2,Card,2022-06-28
500501,103146,Electronics,3771.56,4,Card,2024-06-25
